Name,Symbol
SSP Group,SSPG.L
St. Modwen Properties,SMP.L
Syncona,SYNC.L
Synthomer,SYNT.L
TalkTalk Group,TALK.L
Tate & Lyle,TATE.L
TBC Bank,TBCG.L
Telecom Plus,TEP.L
Templeton Emerging Markets Investment Trust,TEM.L
The Renewables Infrastructure Group,TRIG.L
TI Fluid Systems,TIFS.L
TP ICAP,TCAP.L
Trainline,TRN.L
Travis Perkins,TPK.L
Tritax Big Box REIT,BBOX.L
TR Property Investment Trust,TRY.L
TUI AG,TUI.L
UDG Healthcare,UDG.L
UK Commercial Property Trust,UKCM.L
Ultra Electronics Holdings,ULE.L
Unite Group,UTG.L
Vectura,VEC.L
Vesuvius,VSVS.L
Victrex,VCT.L
Vietnam Enterprise Investments,VEIL.L
VinaCapital Vietnam Opportunity Fund,VOF.L
Virgin Money UK,VMUK.L
Vistry Group,VTY.L
Vivo Energy,VVO.L
Watches of Switzerland,WOSG.L
Weir Group,WEIR.L
Wetherspoon (J D),JDW.L
W H Smith,SMWH.L
William Hill,WMH.L
Witan Investment Trust,WTAN.L
Wizz Air,WIZZ.L
Wood Group,WG.L
Workspace Group,WKP.L
Worldwide Healthcare Trust,WWH.L
XP Power,XPP.L
