Date,MNO.L,WSBN.L,CGNR.L,THR.L,SJH.L,EVE.L,VAL.L,ALBA.L
2019-12-09,1.5499999523162842,2.200000047683716,6.150000095367432,0.375,23.5,2.3499999046325684,16.25,0.17000000178813934
2019-12-10,1.5499999523162842,2.0999999046325684,6.150000095367432,0.44999998807907104,23.5,2.3499999046325684,15.625,0.16500000655651093
2019-12-11,1.5499999523162842,2.4000000953674316,6.75,0.42500001192092896,23.5,2.3499999046325684,15.0,0.16500000655651093
2019-12-12,1.5499999523162842,2.4000000953674316,6.75,0.41499999165534973,23.5,2.3499999046325684,15.0,0.16500000655651093
2019-12-13,1.5499999523162842,2.4000000953674316,6.75,0.39500001072883606,23.5,2.3499999046325684,16.25,0.16500000655651093
2019-12-16,1.5499999523162842,2.0999999046325684,6.5,0.4000000059604645,23.5,2.3299999237060547,16.875,0.16500000655651093
2019-12-17,1.5499999523162842,2.0999999046325684,6.25,0.4650000035762787,23.5,2.3299999237060547,15.625,0.16500000655651093
2019-12-18,1.5499999523162842,2.0999999046325684,6.25,0.42500001192092896,23.5,2.3299999237060547,15.625,0.16500000655651093
2019-12-19,1.600000023841858,2.4000000953674316,6.25,0.46000000834465027,23.5,2.140000104904175,15.375,0.16500000655651093
2019-12-20,1.600000023841858,2.299999952316284,6.25,0.4749999940395355,23.5,2.119999885559082,14.375,0.16500000655651093
2019-12-23,1.600000023841858,2.0999999046325684,5.75,0.5199999809265137,23.5,2.049999952316284,15.0,0.16500000655651093
2019-12-24,1.600000023841858,2.0999999046325684,5.75,0.4749999940395355,23.5,2.0999999046325684,15.0,0.1599999964237213
2019-12-27,1.600000023841858,2.0999999046325684,5.75,0.47999998927116394,23.5,2.0999999046325684,15.0,0.1599999964237213
2019-12-30,1.600000023841858,1.899999976158142,5.75,0.44999998807907104,23.5,2.0999999046325684,14.375,0.1599999964237213
2019-12-31,1.600000023841858,1.899999976158142,5.75,0.4300000071525574,23.5,1.850000023841858,15.0,0.16500000655651093
2020-01-02,1.600000023841858,1.899999976158142,6.050000190734863,0.41499999165534973,23.5,2.3499999046325684,15.0,0.16500000655651093
2020-01-03,1.600000023841858,1.899999976158142,7.25,0.4099999964237213,23.5,1.9500000476837158,13.75,0.16500000655651093
2020-01-06,3.299999952316284,1.899999976158142,8.25,0.4099999964237213,23.5,1.8250000476837158,12.25,0.1599999964237213
2020-01-07,2.75,1.899999976158142,8.25,0.38499999046325684,23.5,1.725000023841858,12.25,0.1599999964237213
2020-01-08,2.5,1.899999976158142,9.399999618530273,0.4050000011920929,23.5,1.725000023841858,12.25,0.16500000655651093
2020-01-09,2.0999999046325684,2.0,8.399999618530273,0.44999998807907104,23.5,1.725000023841858,12.25,0.16500000655651093
2020-01-10,2.25,1.899999976158142,7.75,0.4399999976158142,23.5,1.725000023841858,12.25,0.16500000655651093
2020-01-13,2.4000000953674316,1.899999976158142,7.75,0.4300000071525574,23.5,1.75,14.125,0.1550000011920929
2020-01-14,2.5999999046325684,1.899999976158142,7.75,0.4449999928474426,23.5,1.7000000476837158,13.125,0.1550000011920929
2020-01-15,3.200000047683716,2.0,6.875,0.4350000023841858,23.5,1.524999976158142,13.125,0.15000000596046448
2020-01-16,2.5999999046325684,2.0,6.875,0.38999998569488525,23.5,1.600000023841858,12.875,0.15000000596046448
2020-01-17,2.5999999046325684,2.0,7.349999904632568,0.4099999964237213,23.5,1.875,13.125,0.15000000596046448
2020-01-20,2.5999999046325684,2.0999999046325684,8.5,0.4099999964237213,23.5,1.9500000476837158,13.75,0.14000000059604645
2020-01-21,2.5999999046325684,1.9500000476837158,7.75,0.4099999964237213,23.5,2.119999885559082,13.75,0.14000000059604645
2020-01-22,2.5999999046325684,1.9500000476837158,7.875,0.3799999952316284,23.5,2.0,13.75,0.14000000059604645
2020-01-23,2.5999999046325684,1.899999976158142,7.875,0.36500000953674316,23.5,1.850000023841858,13.125,0.14000000059604645
2020-01-24,2.5999999046325684,1.899999976158142,7.25,0.36500000953674316,23.5,1.774999976158142,13.75,0.14000000059604645
2020-01-27,2.5999999046325684,1.899999976158142,7.25,0.36500000953674316,23.5,1.649999976158142,13.125,0.14000000059604645
2020-01-28,2.5999999046325684,1.899999976158142,7.625,0.35499998927116394,23.5,1.5499999523162842,12.5,0.13500000536441803
2020-01-29,2.549999952316284,1.75,8.25,0.375,23.5,1.5499999523162842,12.25,0.11999999731779099
2020-01-30,2.549999952316284,1.75,8.875,0.33500000834465027,23.5,1.4500000476837158,10.375,0.11999999731779099
2020-01-31,2.549999952316284,1.75,10.25,0.3149999976158142,32.0,1.4500000476837158,10.375,0.11999999731779099
2020-02-03,2.549999952316284,1.725000023841858,10.75,0.3149999976158142,36.0,1.4500000476837158,9.375,0.11500000208616257
2020-02-04,2.5,1.75,17.75,0.3149999976158142,39.0,1.4500000476837158,9.75,0.11999999731779099
2020-02-05,2.450000047683716,1.75,14.25,0.30000001192092896,39.0,1.4500000476837158,10.625,0.11999999731779099
2020-02-06,2.450000047683716,1.75,16.0,0.29499998688697815,39.0,1.4500000476837158,10.375,0.11999999731779099
2020-02-07,2.450000047683716,1.75,14.75,0.28999999165534973,39.0,1.4199999570846558,10.0,0.11999999731779099
2020-02-10,2.450000047683716,1.75,16.5,0.28999999165534973,39.0,1.4199999570846558,10.0,0.11999999731779099
2020-02-11,2.450000047683716,1.75,16.5,0.28999999165534973,39.0,1.4199999570846558,10.0,0.10999999940395355
2020-02-12,2.450000047683716,1.524999976158142,14.899999618530273,0.3100000023841858,39.0,1.225000023841858,9.75,0.125
